label	cell_type_granular	cell_type_broad	include
activated CD4-positive, alpha-beta T cell	CD4 T cell – Activated	CD4 T cell	yes
activated CD8-positive, alpha-beta T cell	CD8 T cell – Activated	CD8 T cell	yes
alpha-beta T cell	T cell	T cell	yes
alveolar macrophage	Alveolar Macrophage	Macrophage	
amacrine cell	Amacrine Cell	Amacrine Cell	
animal cell	Animal Cell	Animal Cell	
astrocyte	Astrocyte	Astrocyte	
basal cell	Basal cell	Basal cell	
basal cell of prostate epithelium	Basal cell	Basal cell	
B cell	B cell	B cell	yes
blood vessel endothelial cell	Blood Vessel Endothelial Cell	Endothelial Cell	
bronchial smooth muscle cell	Bronchial Smooth Muscle Cell	Muscle cell	
capillary endothelial cell	Capillary Endothelial Cell	Endothelial Cell	
cardiac endothelial cell	Cardiac Endothelial Cell	Endothelial Cell	
cardiac muscle cell	Cardiac Muscle Cell	Muscle cell	
cardiac neuron	Cardiac Neuron	Neuron	
CD141-positive myeloid dendritic cell	mDC	Dendritic cell	yes
CD14-low, CD16-positive monocyte	Non-classical monocyte	Monocyte	yes
CD14-positive, CD16-positive monocyte	Intermediate monocyte	Monocyte	yes
CD14-positive monocyte	Classical monocyte	Monocyte	yes
CD16-negative, CD56-bright natural killer cell, human	NK (CD16neg CD56high)	NK cell	yes
CD16-positive, CD56-dim natural killer cell, human	NK (CD16pos CD56low)	NK cell	yes
CD1c-positive myeloid dendritic cell	mDC	Dendritic cell	yes
CD4-positive, alpha-beta cytotoxic T cell	Cytotoxic CD4 T cell	CD4 T cell	yes
CD4-positive, alpha-beta memory T cell	Memory CD4 T cell	CD4 T cell	yes
CD4-positive, alpha-beta T cell	CD4 T cell	CD4 T cell	yes
CD4-positive, CD25-positive, alpha-beta regulatory T cell	Treg	CD4 T cell	yes
CD4-positive helper T cell	CD4 T cell	CD4 T cell	yes
CD8-positive, alpha-beta cytotoxic T cell	Cytotoxic CD8 T cell	CD8 T cell	yes
CD8-positive, alpha-beta memory T cell	Memory CD8 T cell	CD8 T cell	yes
CD8-positive, alpha-beta T cell	CD8 T cell	CD8 T cell	yes
central memory CD4-positive, alpha-beta T cell	CD4 Tcm	CD4 T cell	yes
central memory CD8-positive, alpha-beta T cell	CD8 Tcm	CD8 T cell	yes
cholangiocyte	Cholangiocyte	Cholangiocyte	
